timestamp_ms,targetRad,actualRad
2,0.000000,0.000000
23,0.000000,0.000000
45,0.000000,0.000000
66,0.000000,0.000000
88,0.000000,0.000000
109,0.000000,0.000000
129,0.000000,0.000000
150,0.000000,0.000000
171,0.000000,0.000000
193,0.000000,0.000000
214,0.000000,0.000000
235,0.000000,0.000000
256,0.000000,0.000000
277,0.000000,0.000000
298,0.000000,0.000000
320,0.000000,0.000000
341,0.000000,0.000000
362,0.000000,0.000000
383,0.000000,0.000000
404,0.000000,0.000000
425,0.000000,0.000000
446,0.000000,0.000000
467,0.000000,0.000000
488,0.000000,0.000000
511,0.000000,0.000000
533,-1.571180,0.000000
554,-1.571180,0.000000
575,-1.571180,0.000000
597,-1.571180,-0.003069
618,-1.571180,-0.038359
639,-1.571180,-0.102802
660,-1.571180,-0.188726
681,-1.571180,-0.297665
702,-1.571180,-0.431154
723,-1.571180,-0.590727
744,-1.571180,-0.771781
765,-1.571180,-1.127751
786,-1.571180,-1.265843
807,-1.571180,-1.377851
828,-1.571180,-1.462241
849,-1.571180,-1.522081
870,-1.571180,-1.558905
891,-1.571180,-1.569646
912,-1.571180,-1.569646
933,-1.571180,-1.569646
954,-1.571180,-1.569646
975,-1.571180,-1.569646
996,-1.571180,-1.569646
1017,-1.571180,-1.569646
1038,-1.571180,-1.569646
